Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P_value_adjusted
EPHA6	Tissue enhanced	ovary: 7.7;testis: 15.1	2.53167187	1.978323111	0.781752494	2.530625902	0.011385921	0.77479668
MCF2	Group enriched	adrenal gland: 38.3;cerebral cortex: 8.7;epididymis: 15.0;ovary: 12.9;seminal vesicle: 24.0;testis: 34.6	4.43654565	-0.974488572	0.385409517	-2.528449684	0.011456751	0.77479668
EID3	Tissue enriched	testis: 111.8	7.730741396	0.881862942	0.349468226	2.523442409	0.011621209	0.77873086
RP11-27I1.4	Mixed		11.08600219	0.596563139	0.236501745	2.522447091	0.011654148	0.77873086
UGT8	Tissue enhanced	cerebral cortex: 101.0	11.86749023	-1.07236585	0.425972544	-2.517452981	0.011820675	0.782260792
ATP6V0D2	Tissue enriched	kidney: 59.4	2.748056344	1.953474507	0.777520277	2.512441879	0.011989885	0.788045846
COL8A2	Mixed		33.52251991	0.703837648	0.280181551	2.512077065	0.012002288	0.788045846
ZNF133	Expressed in all		77.81440065	-0.371489227	0.148208467	-2.506531735	0.012192211	0.792356722
ADAMTS1	Tissue enhanced	ovary: 412.9	437.4216055	0.866443582	0.345888891	2.504976609	0.012245949	0.792356722
RNASE3	Tissue enriched	bone marrow: 572.3	2.056743841	2.462324036	0.983007164	2.504889208	0.012248976	0.792356722
GPR68	Mixed		8.2351744	1.397764026	0.558434405	2.503004853	0.012314386	0.792356722
RHBDF2	Expressed in all		6.614674635	2.767504982	1.1066254	2.500850768	0.012389537	0.792356722
CNKSR1	Mixed		20.06180942	0.945242982	0.378363509	2.498240343	0.012481154	0.792356722
CALML4	Tissue enhanced	duodenum: 79.8;small intestine: 74.4	257.9675779	-0.299777065	0.120050669	-2.497087826	0.012521794	0.792356722
CHI3L1	Tissue enhanced	appendix: 186.7;cerebral cortex: 267.1;urinary bladder: 179.4	1219.509256	1.427834956	0.571832824	2.496944731	0.012526848	0.792356722
TNFRSF4	Tissue enhanced	adipose tissue: 9.7;appendix: 8.3	5.885396117	1.014582787	0.406666762	2.494875119	0.012600147	0.792356722
RHOQ	Expressed in all		528.2864805	0.343397033	0.137795372	2.492079589	0.012699758	0.792356722
CPNE5	Tissue enhanced	cerebral cortex: 119.0	17.47766916	0.814179597	0.326756132	2.49170411	0.01271319	0.792356722
TMEM185B	Expressed in all		111.3045569	0.347158482	0.139385249	2.490640042	0.012751323	0.792356722
CCL21	Tissue enhanced	lymph node: 3155.9	212.0568592	0.751360662	0.301763431	2.489899649	0.012777917	0.792356722
CCDC102B	Tissue enhanced	placenta: 41.0	12.55730384	1.4325783	0.575945278	2.487351411	0.01286982	0.79435196
PLBD1	Expressed in all		124.7804763	0.342989447	0.137972474	2.485926631	0.01292146	0.795372058
TPPP3	Tissue enriched	fallopian tube: 1311.7	25.25248608	0.973908069	0.392026081	2.484294075	0.012980856	0.796862744
TPPP	Tissue enriched	cerebral cortex: 166.6	69.51668381	0.697178139	0.280812648	2.482716298	0.013038488	0.798237399
CCDC17	Tissue enriched	fallopian tube: 54.5	16.5158725	-0.718747549	0.289982944	-2.478585599	0.013190446	0.801539526
JRKL	Expressed in all		58.48631243	0.668826944	0.270054032	2.476641206	0.013262515	0.801539526
TES	Expressed in all		83.80941177	0.825465889	0.333423347	2.475729115	0.013296442	0.801539526
IER3	Tissue enhanced	appendix: 20.7	239.460195	0.828393167	0.334635832	2.475506467	0.013304735	0.801539526
PNMA1	Expressed in all		117.0529315	0.357268632	0.144386532	2.474390288	0.013346381	0.801915686
STC1	Tissue enhanced	"cervix, uterine: 78.0"	47.00446828	0.928456415	0.375473852	2.47275918	0.013407446	0.80345359
MMEL1	Tissue enhanced	testis: 5.4	3.219287188	2.031171471	0.822344338	2.469976842	0.01351218	0.807506137
CMYA5	Group enriched	heart muscle: 102.2;skeletal muscle: 172.4	105.6851275	-0.617117311	0.24996582	-2.468806778	0.01355644	0.807506137
TAGLN2	Expressed in all		1639.05775	0.434917457	0.176356958	2.466120202	0.013658549	0.807815804
PPP1R15A	Expressed in all		143.2991971	1.103417554	0.448374818	2.460926685	0.013857868	0.815346566
HDAC11	Mixed		74.39509573	0.528364308	0.215269831	2.454428035	0.014110891	0.817775708
PTK7	Mixed		54.69236838	0.676200601	0.275674481	2.452895162	0.014171163	0.817775708
IRF1	Expressed in all		573.2110746	0.441406437	0.179985519	2.452455282	0.014188501	0.817775708
NUAK2	Mixed		64.84833086	0.489635146	0.199751531	2.451220987	0.014237252	0.817775708
SLC22A12	Tissue enriched	kidney: 105.0	3.52188179	2.008293466	0.819700349	2.450033684	0.014284285	0.817775708
MT-ATP8	Expressed in all		52546.39417	0.864716096	0.353632219	2.445241273	0.014475527	0.817775708
WWC1	Mixed		412.3307796	0.392286827	0.160437808	2.445102129	0.014481113	0.817775708
RFK	Expressed in all		827.3336004	0.276423681	0.113185499	2.442218171	0.014597322	0.817775708
KMT2E	Expressed in all		666.6037732	-0.275017696	0.112622482	-2.441943132	0.014608448	0.817775708
SLC35F1	Tissue enriched	cerebral cortex: 45.4	11.68250204	1.177445484	0.482232597	2.441654695	0.014620123	0.817775708
KLHL29	Mixed		74.52974795	0.686036486	0.281014	2.441289355	0.014634923	0.817775708
PKP1	Group enriched	esophagus: 281.6;skin: 821.6	2.187049498	1.915869333	0.784801935	2.441213825	0.014637985	0.817775708
GABRA4	Tissue enriched	cerebral cortex: 15.1	3.488051835	1.918009922	0.785871802	2.440614253	0.014662307	0.817775708
BAK1	Expressed in all		90.18579882	0.646216182	0.265168089	2.437005843	0.01480944	0.817775708
TMTC4	Expressed in all		381.8639797	-0.250484202	0.102876336	-2.434808739	0.014899663	0.817775708
GPR158	Tissue enriched	cerebral cortex: 17.9	6.082269131	-1.02120803	0.419494997	-2.434374756	0.014917541	0.817775708
SOD2	Expressed in all		14304.31761	0.43492093	0.178665464	2.434275325	0.01492164	0.817775708
MSN	Expressed in all		2109.33997	0.283566048	0.116511427	2.433804618	0.014941058	0.817775708
EID2	Expressed in all		17.95106577	0.890031235	0.366005727	2.43174128	0.015026436	0.817775708
CYB561A3	Expressed in all		444.5119312	0.264185504	0.108678501	2.430890199	0.015061778	0.817775708
FGF19	Tissue enriched	gallbladder: 262.2	8.634623718	3.189648025	1.312863939	2.429534341	0.015118233	0.817775708
MAFF	Mixed		125.0202104	0.997993287	0.410875261	2.428944698	0.015142842	0.817775708
C9orf66	Tissue enhanced	kidney: 17.8	17.09704658	0.858420256	0.353487421	2.428432254	0.015164258	0.817775708
RALGDS	Expressed in all		178.1580696	0.580748394	0.239253074	2.427339321	0.015210023	0.817775708
CA12	Tissue enhanced	kidney: 308.4;skin: 168.3	58.03379848	1.540621331	0.634707299	2.427294177	0.015211916	0.817775708
LINGO1	Tissue enriched	cerebral cortex: 130.8	22.44918066	-0.601489498	0.24798202	-2.425536733	0.015285769	0.817775708
FRMD6	Mixed		233.0983556	0.437361651	0.18031786	2.425503785	0.015287156	0.817775708
NPIPB2	Tissue enhanced	testis: 14.8	16.29736478	-0.852369158	0.351551279	-2.4245941	0.015325511	0.817775708
PRAMEF10	Tissue enriched	liver: 1.1	25.47263091	1.906426873	0.786288934	2.424588201	0.01532576	0.817775708
ATP9B	Expressed in all		259.9042691	-0.467511092	0.192842628	-2.424314043	0.015337336	0.817775708
TMC3	Tissue enriched	parathyroid gland: 252.6	5.499243814	-1.108246268	0.457139207	-2.424308069	0.015337588	0.817775708
SIGLEC1	Mixed		375.5602224	-0.642448145	0.265050761	-2.423868326	0.015356172	0.817775708
BBC3	Mixed		63.53285494	0.729091875	0.300864735	2.423321146	0.015379324	0.817775708
STARD5	Mixed		395.497867	-0.379856761	0.156833346	-2.422040794	0.015433618	0.818740778
CAPG	Expressed in all		96.51497125	0.787402059	0.325979766	2.415493661	0.015713896	0.828015751
PHLDA3	Mixed		79.39846513	0.737878327	0.305489605	2.415395862	0.015718116	0.828015751
ZNF436	Mixed		109.4631309	-0.451086674	0.187021456	-2.411951458	0.015867394	0.83200974
IARS2	Expressed in all		953.2855066	-0.379544721	0.157615642	-2.408039688	0.016038437	0.834550462
TFCP2L1	Tissue enhanced	kidney: 49.0	15.52826459	-0.885889451	0.368102285	-2.406639367	0.01610006	0.834550462
IL15RA	Expressed in all		114.7621373	0.465687472	0.193838006	2.402456985	0.01628535	0.840488913
WDPCP	Mixed		136.5293314	-0.439513397	0.182974363	-2.402049062	0.016303522	0.840488913
RHBG	Tissue enhanced	kidney: 3.5;ovary: 2.1	8.216206067	-1.320415414	0.550038244	-2.400588376	0.016368738	0.840488913
SLAMF8	Tissue enhanced	appendix: 39.3	57.71330559	0.751046161	0.312989017	2.399592699	0.016413323	0.840488913
MPO	Tissue enriched	bone marrow: 2499.6	10.36916734	1.329148757	0.554365542	2.397603489	0.016502719	0.840488913
ABHD4	Expressed in all		256.4780645	0.272224355	0.113546764	2.397464662	0.016508973	0.840488913
P2RX7	Mixed		79.90431471	0.479445908	0.199984986	2.397409508	0.016511459	0.840488913
C9orf47	Mixed		3.397846095	1.241822185	0.518285208	2.396020889	0.016574146	0.840786304
ST20-MTHFS	Mixed		9.800377712	3.205223249	1.337942245	2.395636478	0.016591536	0.840786304
ANK2	Tissue enhanced	cerebral cortex: 184.4	56.02060722	0.526231495	0.220260219	2.389135434	0.016888076	0.849885034
PMF1	Expressed in all		326.03486	-0.272772844	0.114172862	-2.389121541	0.016888714	0.849885034
COL6A3	Tissue enhanced	smooth muscle: 557.1	626.2755231	0.483888809	0.20263565	2.387974715	0.016941507	0.849885034
IGSF3	Mixed		54.03812716	0.712994608	0.298592611	2.387850813	0.01694722	0.849885034
RAP1B	Expressed in all		861.8826539	0.321632188	0.134726272	2.387301174	0.016972581	0.849885034
BCO2	Tissue enhanced	heart muscle: 21.7;liver: 25.7	920.9448553	-0.623177546	0.261191261	-2.385905042	0.01703715	0.849885034
ZYX	Expressed in all		422.9060575	0.37251677	0.156203549	2.384816301	0.017087652	0.849885034
CPE	Expressed in all		93.28194066	1.067446774	0.448229449	2.38147399	0.017243508	0.851909351
ITGAX	Tissue enhanced	appendix: 58.3;spleen: 59.0	146.0489107	0.511586552	0.214855551	2.381072074	0.017262334	0.851909351
TMEM241	Mixed		65.89735756	0.33460995	0.140664646	2.378777887	0.017370139	0.852071517
GABRB3	Tissue enhanced	cerebral cortex: 78.3	154.3149244	1.034862119	0.435784707	2.374709578	0.017562763	0.852071517
TMEM104	Expressed in all		236.6307201	0.347333565	0.146332808	2.373586415	0.01761627	0.852071517
NKD2	Tissue enhanced	lung: 5.5;skin: 3.8	10.59367619	1.019383889	0.429522015	2.373298346	0.017630017	0.852071517
PADI2	Tissue enhanced	cerebral cortex: 85.0;colon: 89.8;rectum: 99.9;skeletal muscle: 108.6	18.01556085	0.93036445	0.392044319	2.373110399	0.017638991	0.852071517
TFF3	Tissue enhanced	"cervix, uterine: 470.7;colon: 496.2;rectum: 504.3;thyroid gland: 620.1"	52.73861653	1.028045384	0.43328138	2.372696893	0.017658749	0.852071517
IL1R2	Mixed		72.02396282	0.539063519	0.227410078	2.370446916	0.017766595	0.852071517
TNFAIP6	Tissue enhanced	appendix: 38.7;gallbladder: 31.8	5.386505853	1.311774233	0.553467812	2.37010031	0.01778326	0.852071517
KIAA1522	Mixed		490.6517178	0.308964287	0.130412013	2.369139777	0.017829514	0.852071517
RNF44	Expressed in all		354.4045311	0.237871751	0.100418474	2.368804694	0.017845674	0.852071517
HBEGF	Expressed in all		60.30596124	0.86705639	0.366179087	2.367847918	0.017891889	0.852071517
SLC38A5	Mixed		3.014188771	1.298977548	0.549160919	2.365385998	0.018011288	0.852071517
DFNA5	Mixed		104.0485937	0.380037965	0.160709604	2.364749556	0.018042267	0.852071517
ZC3H12A	Tissue enhanced	bone marrow: 84.3	74.07852734	1.018030266	0.430762854	2.36331953	0.018112046	0.852071517
TRAPPC9	Expressed in all		225.4399004	0.385827321	0.163314154	2.362485503	0.018152851	0.852071517
WISP1	Mixed		10.19843002	0.968365852	0.410065525	2.361490528	0.018201637	0.852071517
FHAD1	Group enriched	fallopian tube: 24.1;lung: 5.2;testis: 24.7	2.900546433	1.250265981	0.529466118	2.361371083	0.018207501	0.852071517
ANO10	Expressed in all		175.5745413	0.28612771	0.121247135	2.359871935	0.018281245	0.852071517
KPNA2	Expressed in all		169.0112533	0.439330385	0.186736307	2.352677913	0.018638771	0.859419526
UPP2	Group enriched	kidney: 52.2;liver: 14.3	143.2343181	1.364059987	0.580498558	2.349807709	0.018783112	0.859419526
C6orf223	Group enriched	breast: 22.7;lung: 5.6	8.690387048	1.680297169	0.715219362	2.349345192	0.018806463	0.859419526
MPZL3	Mixed		191.7939751	0.352462965	0.150049719	2.348974501	0.018825196	0.859419526
VCAN	Tissue enhanced	appendix: 105.5;placenta: 104.6	282.3535117	0.63237029	0.269269185	2.348468838	0.018850777	0.859419526
SLC26A8	Tissue enriched	testis: 76.1	9.294447478	1.228197978	0.523011859	2.348317646	0.018858431	0.859419526
BEX5	Tissue enhanced	cerebral cortex: 96.0	25.69622527	0.841828084	0.358589063	2.347612268	0.018894178	0.859419526
RGS2	Expressed in all		179.3071259	0.666822903	0.284455897	2.344204882	0.019067694	0.860710163
CA14	Tissue enhanced	cerebral cortex: 10.6;seminal vesicle: 21.2	53.90340887	-0.682347367	0.29114152	-2.343696523	0.0190937	0.860710163
PRTN3	Tissue enriched	bone marrow: 616.4	3.972648498	2.013756596	0.859357298	2.343328671	0.019112538	0.860710163
FAM186A	Tissue enriched	testis: 10.9	5.117173427	-1.055785521	0.450989624	-2.341041712	0.019230019	0.86407614
B4GALNT1	Tissue enriched	cerebral cortex: 26.2	8.745832761	1.208695363	0.516546414	2.339954997	0.019286064	0.86407614
TP53AIP1	Tissue enhanced	esophagus: 6.3;skin: 22.2	0.856030582	-2.297123786	0.981828881	-2.33963762	0.019302459	0.86407614
TMC2	Not detected		1.479098347	2.014580238	0.861331325	2.338914399	0.019339864	0.86407614
CTF1	Mixed		18.38103612	0.743909275	0.318188517	2.337951356	0.019389772	0.864600607
ELOA3	Not detected		0.888896889	-2.237993544	0.958066733	-2.335947451	0.01949398	0.867240776
ZP3	Mixed		12.79657159	-0.929305316	0.397964457	-2.335146518	0.019535768	0.867240776
LIPH	Tissue enhanced	rectum: 40.8;stomach: 45.0	27.54637205	0.833387005	0.357171951	2.333293538	0.019632744	0.867240776
HKDC1	Tissue enhanced	duodenum: 53.1;small intestine: 52.3	154.7082544	1.220351617	0.523018421	2.333286109	0.019633134	0.867240776
FBLN5	Expressed in all		540.8717485	0.573489349	0.245852922	2.332652157	0.019666409	0.867240776
NFKB2	Expressed in all		275.267726	0.477185872	0.204588456	2.332418359	0.019678693	0.867240776
PNRC1	Expressed in all		1775.856198	0.382334229	0.164062015	2.330425044	0.019783697	0.86924415
SERTAD3	Expressed in all		124.1225682	0.391024318	0.167954066	2.328162265	0.019903489	0.86924415
LPA	Tissue enriched	liver: 41.5	2109.350515	-0.532175041	0.228600096	-2.32797383	0.019913493	0.86924415
NID2	Tissue enhanced	placenta: 88.5	31.0892142	0.840760521	0.361620026	2.324983301	0.020072853	0.86924415
CD1B	Tissue enhanced	rectum: 3.1;skin: 3.9	2.398638049	1.347843404	0.579931257	2.324143401	0.02011781	0.86924415
ZSWIM5	Mixed		28.1198387	-0.562980273	0.242558585	-2.321007406	0.020286444	0.86924415
UPP1	Tissue enhanced	esophagus: 35.1	88.46684246	0.532417112	0.229486494	2.320036802	0.020338887	0.86924415
FLII	Expressed in all		505.5141325	0.484760582	0.208988666	2.319554403	0.020364995	0.86924415
RARRES1	Mixed		102.9781402	0.608182874	0.262208324	2.319464406	0.020369869	0.86924415
HTR2A	Tissue enriched	cerebral cortex: 32.2	3.12866779	-1.294994876	0.558447049	-2.318921515	0.020399292	0.86924415
TMPRSS4	Tissue enhanced	rectum: 77.1;urinary bladder: 77.3	5.87776121	-0.918312707	0.39620015	-2.317799998	0.020460193	0.86924415
C11orf88	Group enriched	fallopian tube: 141.7;testis: 39.5	1.284747928	-1.809464684	0.780874463	-2.317228658	0.020491279	0.86924415
DRAM1	Expressed in all		201.9535335	0.36653235	0.158180318	2.317180513	0.020493901	0.86924415
RIMKLA	Tissue enhanced	cerebral cortex: 10.2	1.672182072	1.567337454	0.677202261	2.314430333	0.020644129	0.86924415
CEP112	Tissue enriched	testis: 86.4	44.81990842	0.52629327	0.22740919	2.314300798	0.020651228	0.86924415
CXCR4	Tissue enhanced	bone marrow: 771.6	196.6077347	0.788320477	0.340808986	2.313085951	0.020717914	0.86924415
DCDC2	Tissue enhanced	kidney: 23.2	289.4179341	0.723806504	0.312931297	2.312988543	0.020723269	0.86924415
SEZ6L	Tissue enriched	cerebral cortex: 89.2	4.692997334	0.961688509	0.416031174	2.311577999	0.02080095	0.86924415
LRRK2	Expressed in all		459.8730763	-0.406651862	0.175969297	-2.310925083	0.020836993	0.86924415
SIK1	Mixed		1236.001483	0.973970663	0.422300527	2.306344893	0.021091369	0.872103443
TCEA2	Expressed in all		382.8792692	0.485299792	0.210466036	2.305834241	0.021119896	0.872103443
ADNP2	Mixed		222.9788051	0.245862188	0.106684645	2.304569577	0.021190691	0.872103443
ERMARD	Expressed in all		292.3440909	-0.203997162	0.088572775	-2.303158749	0.021269913	0.872103443
ACOT9	Expressed in all		221.7112287	0.286936293	0.12463105	2.302285769	0.021319062	0.872103443
POU2F3	Group enriched	parathyroid gland: 15.5;skin: 72.3	6.751541972	1.378462845	0.598759099	2.302199412	0.021323929	0.872103443
SLAMF7	Mixed		127.0551617	0.580665887	0.252624171	2.29853653	0.021531271	0.872103443
SLC16A3	Expressed in all		88.09436578	0.545417275	0.237292581	2.298501164	0.021533282	0.872103443
GPRIN2	Tissue enhanced	lung: 18.0;skin: 18.8	26.58204619	0.972032365	0.422994475	2.29797887	0.021562992	0.872103443
UBE2Z	Expressed in all		699.9602133	0.168190981	0.073210075	2.297374812	0.021597397	0.872103443
UPRT	Expressed in all		105.5340289	0.269866904	0.117468534	2.29735484	0.021598536	0.872103443
ANXA2	Expressed in all		1449.42038	0.501113935	0.218239888	2.29616107	0.021666674	0.873298024
LRRC15	Mixed		2.178954927	1.782670153	0.776811195	2.294856414	0.021741354	0.874134097
CCDC152	Mixed		2504.429627	-1.01850788	0.443900436	-2.294451183	0.021764596	0.874134097
SLC7A11	Tissue enhanced	cerebral cortex: 22.4	17.353846	1.158187607	0.504980958	2.293527289	0.021817666	0.874714642
MS4A8	Tissue enhanced	duodenum: 186.5;fallopian tube: 226.5;small intestine: 210.9	1.46136763	3.333340979	1.456541504	2.288531407	0.022106593	0.879759653
SNX22	Tissue enhanced	cerebral cortex: 16.2;thyroid gland: 14.4	73.88729957	0.75631234	0.330491352	2.2884482	0.022111433	0.879759653
CCDC160	Mixed		2.241144791	1.664668684	0.727883021	2.287000295	0.022195806	0.879759653
TWNK	Expressed in all		76.98736602	0.345075167	0.150913042	2.286582799	0.022220186	0.879759653
PKP4	Expressed in all		813.4088222	0.216871198	0.094874671	2.285870367	0.022261843	0.879759653
SRPX2	Mixed		41.35003431	0.628108972	0.274794968	2.285736805	0.022269661	0.879759653
RHOF	Expressed in all		31.98395783	0.613067642	0.268372771	2.284388388	0.022348715	0.879759653
NOCT	Tissue enhanced	bone marrow: 21.2	96.97025886	0.678726716	0.297680309	2.280052441	0.022604578	0.881743188
ATXN7L2	Mixed		29.0615249	-0.541508249	0.237515094	-2.279889836	0.022614223	0.881743188
JUND	Expressed in all		1764.849736	0.647903908	0.284213715	2.279636323	0.022629267	0.881743188
SLC44A3	Mixed		125.3019591	0.502624267	0.220573694	2.278713562	0.022684098	0.881743188
ARNTL2	Tissue enhanced	esophagus: 31.2	80.71027822	0.590922386	0.25939195	2.278106113	0.022720256	0.881743188
CYLD	Expressed in all		435.8634878	0.236729322	0.10392439	2.277899548	0.022732563	0.881743188
HAS2	Tissue enhanced	adipose tissue: 27.9	19.4215518	1.180537451	0.518543097	2.276642884	0.02280756	0.883139905
TICAM1	Expressed in all		175.0279669	0.374956119	0.164849967	2.274529542	0.022934167	0.884732697
MAGED4B	Tissue enhanced	cerebral cortex: 35.1	9.307159582	0.933095328	0.410370234	2.273789007	0.022978675	0.884732697
TCEANC	Mixed		65.51476321	-0.311286357	0.136928788	-2.273344865	0.023005406	0.884732697
RPN1	Expressed in all		5276.431021	0.243232786	0.107011298	2.272963599	0.023028374	0.884732697
CFAP157	Tissue enriched	fallopian tube: 94.5	9.503534855	0.692903084	0.304963095	2.272088316	0.023081177	0.884732697
TIFA	Expressed in all		117.0236156	0.543917957	0.239530773	2.270764419	0.023161243	0.884732697
POU4F1	Tissue enhanced	testis: 1.8	6.170914244	2.065104313	0.909517384	2.270549579	0.023174259	0.884732697
GCFC2	Expressed in all		470.4356239	-0.24557153	0.108204983	-2.269502961	0.023237757	0.884732697
LCTL	Mixed		13.55655413	1.074413403	0.473418724	2.269478052	0.02323927	0.884732697
FMO1	Tissue enriched	kidney: 203.2	34.67246702	0.995035585	0.438800313	2.267627338	0.02335193	0.887530063
DHRS2	Group enriched	breast: 436.3;urinary bladder: 339.0	146.4924235	-1.302529749	0.57511419	-2.264819356	0.023523767	0.891975079
